id,source_agent,file,line,title,vector,base_score,severity,status,fix_commit_sha,exploit_summary,mitigation_summary,references
F01,BRUTE+SkepticVendor,src/components/exhibitor/StaffManager.tsx,82,Unsigned staff-badge QR payload allows forged gate access,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:N,6.1,MEDIUM,DEFERRED,,Attacker prints `YHF2026|<stall>|x|<name>` payload as QR; gate scanner has no shared secret to validate against; physical access only (AV:P) but integrity of access control fully broken,Remediation spec at specs/staff-badges-via-fooevents.md moves to FooEvents signed PDF tickets; next sprint,CWE-345 OWASP A04:2021
F02,BRUTE,src/app/api/admin/applications/route.ts,74,PostgREST ILIKE OR-clause injection in admin search,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,4.4,MEDIUM,FIXED,b219bdf+,Crafted `?search=,exfil_clause` could break out of the ilike OR fragment to widen the SELECT scope,Added ilikeEscape() + [,()] strip + 100-char cap; mirrored in /api/applications/route.ts:264 and /api/admin/applications/route.ts:74,CWE-89 OWASP A03:2021
F03,BRUTE-RLS,db/migrations/20260615_rls_enforce.sql,8,Anon-key SELECT on wa_messages leaked 172 rows,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,FIXED-PENDING-VERIFY,77fdcad,Anyone with the public anon key (NEXT_PUBLIC_SUPABASE_ANON_KEY) could SELECT * from wa_messages exposing all vendor WhatsApp content,Migration 20260615_rls_enforce.sql ALTER TABLE ENABLE RLS; service-role policy belt; assumed applied per FINAL but no post-deploy probe re-run,CWE-284 OWASP A01:2021
F04,BRUTE-RLS,db/migrations/20260615_rls_enforce.sql,9,Anon-key SELECT on wa_threads leaked 13 rows,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,MEDIUM,FIXED-PENDING-VERIFY,77fdcad,Anon-key SELECT against wa_threads exposed thread metadata + last messages,Same migration enables RLS,CWE-284
F05,BRUTE-RLS,db/migrations/20260615_rls_enforce.sql,10,Anon-key SELECT on site_events leaked 7839 rows,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,FIXED-PENDING-VERIFY,77fdcad,site_events stores IPs + UAs + abuse-guard hits + funnel metadata; 7839 rows leaked via anon key,Same migration enables RLS,CWE-284 OWASP A01:2021
F06,BRUTE-RLS,db/migrations/20260615_rls_enforce.sql,11,vendor_application_events open-but-empty (would leak when populated),CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,MEDIUM,FIXED-PENDING-VERIFY,77fdcad,RLS off; latent leak on next insert,Same migration,CWE-284
F07,BRUTE-RLS,db/migrations/20260615_rls_enforce.sql,12,mail_messages open-but-empty (would leak when populated),CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,FIXED-PENDING-VERIFY,77fdcad,Outbound mail content would be readable by anon once table populated,Same migration,CWE-284
F08,BRUTE-RLS,db/migrations/20260615_rls_enforce.sql,13,mail_optout open-but-empty (would leak when populated),CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,MEDIUM,FIXED-PENDING-VERIFY,77fdcad,Opt-out roster leak,Same migration,CWE-284
F09,BRUTE-F6followup,db/migrations/20260615_rls_enforce.sql,155,vendor_applications + admin_users + support_inbox tables throw 42P17 infinite recursion in is_admin() policy,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:L,7.1,HIGH,OPEN,,RLS recursion bug means authenticated JWT cannot read these tables AND, depending on policy shape, anon may also be inadvertently permitted; depends on whether the recursion fires before grant evaluation,Documented as F6-followup in migration footer; needs is_admin() helper rewrite OR BYPASSRLS grant; deferred to next sprint,CWE-754
F10,BRUTE+ServiceRoleFallback,src/lib/supabase/admin.ts,9,Service-role client uses empty-string fallback when env var missing,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:L/I:L/A:L,3.7,LOW,OPEN,,Missing SUPABASE_SERVICE_ROLE_KEY at deploy returns a misconfigured client rather than crashing; admin reads silently degrade to anon and may mask config drift,Should fail-loud (throw on construction) when key is absent in production NODE_ENV,CWE-754
F11,BRUTE-CSP,next.config.ts,36,Content-Security-Policy in Report-Only mode does not enforce,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:L/I:L/A:N,4.7,MEDIUM,OPEN,,Active XSS via inline script execution would not be blocked; CSP currently only reports violations; unsafe-inline + unsafe-eval retained,Promote to Content-Security-Policy header after a clean sprint of violation reports per header comment line 28-34,CWE-1021 OWASP A05:2021
F12,Skeptic-DoS,src/app/api/admin/whatsapp-broadcast/route.ts,n/a,No per-admin rate limit on whatsapp-broadcast,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,4.9,MEDIUM,OPEN,,Single leaked admin JWT can call broadcast in a loop; each call iterates full 462-row audience at 250ms pacing; Meta will throttle but daily cost ceiling can blow,Add 5/admin/min rate limit mirroring src/app/api/admin/chase/route.ts:96-115,CWE-770
F13,Skeptic-DoS,src/app/api/admin/bot-inbox/summarize/route.ts,n/a,No rate limit on AI summariser drains Anthropic credits,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:L,3.1,LOW,OPEN,,Leaked admin JWT loops summariser at 1000/min = ~$12/hour Anthropic spend; capped at Anthropic-side rate limit on operator key,Add per-admin rate limit + Anthropic key concurrency cap,CWE-770
F14,Skeptic-C,src/app/api/whatsapp/webhook/route.ts,42,WhatsApp webhook accepted unsigned in prod when secret missing,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,9.1,CRITICAL,FIXED,prior,Before C5 fix a missing WHATSAPP_APP_SECRET would silent-accept every unsigned POST allowing inbound spoofing,Fail-CLOSED in prod at src/lib/whatsapp.ts:253-258; verified,CWE-345 OWASP A07:2021
F15,Skeptic,src/app/api/admin/support-inbox/webhook/resend/route.ts,89,Resend webhook unsigned acceptance,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:N,8.2,HIGH,FIXED,prior,Without svix verification a forged webhook could inject fake support threads,Svix verify at line 89-103; fail-closed in prod at line 104-106 (returns 503 when secret missing),CWE-345
F16,Skeptic,src/middleware.ts,21,Cron routes unauthenticated,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:H,8.2,HIGH,FIXED,prior,Public POST to /api/cron/* could trigger reminder blasts,Bearer CRON_SECRET enforced at middleware.ts:21-27; fail-closed,CWE-306
F17,Skeptic-Vendor,src/lib/exhibitor.ts,43,Email-fallback session binding allowed account takeover,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,7.3,HIGH,FIXED,prior,Attacker re-signs up with victim email and lands on victim application row; mitigated by removing fallback,Refuses to bind without user_metadata.application_id (line 43-49 per Law 2),CWE-639 OWASP A01:2021
F18,Skeptic-C,src/app/api/whatsapp/webhook/route.ts,n/a,WhatsApp voice notes had no rejection path,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,MEDIUM,FIXED,be0ecea,Voice notes hit STT path that could be flooded,Now rejects with polite typed-message ask,CWE-770
F19,Walkthrough,src/components/exhibitor/Portal*,n/a,/portal Overview leaked Inbox widget to vendors,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,4.3,MEDIUM,FIXED,cab1c79,Sensitive admin-side inbox surfaced inside vendor portal,Widget removed,CWE-200
F20,Skeptic-E,src/app/exhibitor/*,n/a,Stale application_id metadata broke /exhibitor with leak risk,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:N/A:L,4.5,MEDIUM,FIXED,ca7b414,Stale metadata pointed to deleted row; could mis-bind,Fallback to email when application_id metadata is stale,CWE-639
F21,SkepticA,src/app/admin/bot-inbox/*,n/a,bot-inbox could not see mail threads (operational visibility gap),CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:L,2.7,LOW,FIXED,67b764f,Operator blind spot enabled phishing-by-thread-injection,Mail threads surfaced alongside WA,CWE-1059
F22,Skeptic,specs/security,n/a,Honeypot + token + email + IP-throttle abuse stack,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,5.4,MEDIUM,FIXED,prior,Bots flood /apply with bad data corrupting Samreen queue,5-layer guard at src/lib/security/abuse-guard.ts; wired at applications/route.ts:60-92 and analytics/capture-email/route.ts:53,CWE-799
F23,BRUTE,src/app/api/exhibitor/contract/sign/route.ts,14,Contract signature dataURL bomb potential,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,4.3,MEDIUM,FIXED,prior,2MB+ dataURL DoSs PDF render,Zod cap 2.5MB + maxDuration 60s,CWE-770
F24,Skeptic,src/app/api/admin/chase/route.ts,96,Chase route blast-radius without rate limit,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:H,5.2,MEDIUM,FIXED,prior,Stolen admin token loops chase to drain Resend+WA,5/admin/min rate limit + 200-recipient cap (CHASE_MAX_RECIPIENTS) + template allowlist,CWE-770
F25,Skeptic,src/app/api/admin/applications/bulk/route.ts,30,Bulk approval rate-limit,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:N,3.1,LOW,FIXED,prior,Stolen admin token bulk-approves all pending in a loop,10/admin/min rate limit,CWE-770
F26,Skeptic,src/components/StorageBucketVerify,n/a,Storage bucket vendor-docs/signed-contracts/<id>.pdf path is enumerable,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,HIGH,UNVERIFIED,,If vendor-docs bucket is public-read, signed contracts enumerable by app id which is a UUID (mitigates somewhat by guess-space) but still leaks once an id is known,VERIFY bucket policy is private + signed-URL only; if public-read flag as P0,CWE-200 OWASP A01:2021
F27,Skeptic-Mail,DNS-out-of-repo,n/a,DMARC/DKIM/SPF posture on youngatheart.co.za unaudited,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,6.5,MEDIUM,UNVERIFIED,,No-policy or weak-policy enables phishing of vendors with spoofed YAH From: header,VERIFY DNS DMARC=reject and DKIM aligned; outside repo scope,CWE-290
F28,Skeptic-Idempotency,src/lib/idempotency-guards.ts,n/a,Idempotency guards for tests exist,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:N/I:L/A:L,2.8,LOW,FIXED,prior,Webhook replays could double-spend; addressed via providerMessageId dedupe at whatsapp webhook line 83,Webhook + Yoco + Resend all idempotent,CWE-352
F29,DesignReview,next.config.ts,7,HSTS preload header includesSubdomains+preload,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,2.6,LOW,FIXED,prior,TLS-stripping MITM,Strict-Transport-Security max-age 2y + preload + includeSubDomains,CWE-319
F30,DesignReview,next.config.ts,25,X-Frame-Options DENY + frame-ancestors none,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,2.6,LOW,FIXED,prior,Clickjacking,Double-locked,CWE-1021
F31,DesignReview,next.config.ts,21,Permissions-Policy locks camera/mic/geo,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N,1.8,LOW,FIXED,prior,Browser feature abuse,All three blocked,CWE-829
F32,Skeptic-Maintenance,src/middleware.ts,30,Maintenance mode bypass cookie semantics,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N,2.6,LOW,FIXED,prior,Maintenance mode could be bypassed if MAINTENANCE_BYPASS_TOKEN leaks via URL param,httpOnly + sameSite=lax + 24h cookie at middleware.ts:38-44,CWE-613
F33,BRUTE-Audit,scripts/rls-probe.mjs,n/a,RLS probe script ships but post-deploy run not cited in FINAL,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,3.7,LOW,OPEN,,Migration 20260615_rls_enforce.sql asserts fix; no probe re-run evidence in CTH-SPRINT-2026-06-15-FINAL.md,Run node scripts/rls-probe.mjs after deploy and attach output to STATE.md,CWE-754
F34,Skeptic-Vendor-Doc,src/app/api/exhibitor/documents/route.ts,n/a,No per-vendor mutation rate limit on /api/exhibitor/documents,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,4.3,MEDIUM,OPEN,,Vendor user loops doc upload to inflate storage cost,Add per-vendor 5/min mutation rate limit; cap total docs per vendor,CWE-770
F35,DesignReview,src/middleware.ts,4,Middleware filename deprecation in Next 16,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,2.6,LOW,DEFERRED,,Mid-sprint rename could regress matcher,Schedule rename to proxy.ts in next sprint per TODO,CWE-1059
F36,BRUTE-PromptInjection,src/app/api/admin/bot-inbox/summarize/route.ts,73,LLM summariser ingests raw vendor WA bodies (prompt injection),CVSS:3.1/AV:N/AC:H/PR:H/UI:R/S:U/C:N/I:L/A:N,2.7,LOW,DEFERRED,,Vendor sends ignore previous instructions text; suggestions corrupted but operator-in-loop reviews,Suggestions are operator-approved before send; residual is reputational only,CWE-1039
F37,DesignReview,specs/staff-badges-via-fooevents.md,n/a,Spec for fixing F01 (staff-badges) on disk,n/a,0.0,INFO,DEFERRED,,Documented remediation path,Next sprint implementation,n/a
F38,BRUTE-OpsKey,vercel,n/a,RESEND_WEBHOOK_SECRET + IMAP_PASS not set on Vercel per STATE.md line 106,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:H,7.3,HIGH,OPEN,,Until RESEND_WEBHOOK_SECRET is pasted prod webhook returns 503 (fail-closed correct) but operator visibility of outbound mail is broken; IMAP_PASS missing breaks inbound mail fetcher and starves support inbox,Operator action item; Taona to paste both into Vercel,CWE-1391
F39,Skeptic,src/app/api/applications/route.ts,98,Duplicate email check returns 409 (correct) but no exponential backoff,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:L,4.8,MEDIUM,FALSE-POSITIVE,,At 3 hits/IP/10min via IP throttle this is already capped; duplicate-email rejection is fast and cheap,Adequately mitigated by upstream IP throttle,n/a
F40,Convergent-Honeypot,src/lib/security/abuse-guard.ts,63,Honeypot trivially bypassable by inspecting form,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,5.4,MEDIUM,ACCEPTABLE-RISK,,Honeypot is defence-in-depth; STATE.md confirms it caught at least 2 SMOKE TEST inserts in prod,Defence-in-depth posture; primary shield is Cloudflare WAF per abuse-guard.ts:11,CWE-799
